[CTRL] Starting...
[CTRL] Output dir: /home/diya/wildfire_sim/data_seed6/thermal_delay_50ms
[CTRL] TEMP_THRESHOLD=100.0  TIME_WINDOW=0.5s  (pair dt must be <= 0.5s AND <= 2000.0ms sync threshold)
[CTRL] Monitor: window=10.0s  stop_if_drop>50%
[MONITOR] up=591446s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591456s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591466s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591476s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591486s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591496s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591506s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591516s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591526s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591536s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591546s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591556s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591566s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591576s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591586s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591596s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591606s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591616s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591626s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591636s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591646s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591656s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591666s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591676s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591686s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591696s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591706s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591716s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591726s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591736s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591746s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591756s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591766s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591776s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591786s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591796s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591806s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591816s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591826s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591836s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591846s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591856s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591866s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591876s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591886s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591896s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591906s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591916s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591926s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591936s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591946s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591956s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591966s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591976s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591986s window=10s thermal=not_started imagery=not_started
[MONITOR] up=591996s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592006s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592016s window=10s thermal=not_started imagery=not_started
